task_type,input_size_total_bytes,peak_mem_bytes
SeismogramSynthesis,3877405,3733654262
PeakValCalcOkaya,0,3080854
SeismogramSynthesis,3707565,3602857272
PeakValCalcOkaya,0,3091823
SeismogramSynthesis,3633243,3774905030
PeakValCalcOkaya,0,3094447
SeismogramSynthesis,3346886,3348525974
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4253958,4253185355
PeakValCalcOkaya,0,3141399
SeismogramSynthesis,3440182,3399894501
PeakValCalcOkaya,0,3083613
SeismogramSynthesis,4627796,4532069070
PeakValCalcOkaya,0,3084817
SeismogramSynthesis,4626380,4608697890
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,1871970,1799813091
PeakValCalcOkaya,0,3116342
SeismogramSynthesis,4324639,4326758073
PeakValCalcOkaya,0,3101592
SeismogramSynthesis,4790163,4936828972
PeakValCalcOkaya,0,3098557
SeismogramSynthesis,2481616,2377131326
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,1899661,1900591833
PeakValCalcOkaya,0,3142868
SeismogramSynthesis,2747636,2891326484
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5244457,5087915217
PeakValCalcOkaya,0,3121618
SeismogramSynthesis,3376135,3306463016
PeakValCalcOkaya,0,3116359
SeismogramSynthesis,2001993,2002973976
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3175243,3176798869
PeakValCalcOkaya,0,3086680
SeismogramSynthesis,2244818,2245917960
PeakValCalcOkaya,0,3138482
SeismogramSynthesis,2901957,2821269366
PeakValCalcOkaya,0,3086405
SeismogramSynthesis,3350881,3304457767
PeakValCalcOkaya,0,3112382
SeismogramSynthesis,4933496,4935913413
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3914357,3781081200
PeakValCalcOkaya,0,3103580
SeismogramSynthesis,2361541,2362698155
PeakValCalcOkaya,0,3103831
SeismogramSynthesis,4212223,4082437315
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4274304,4306363299
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3663000,3606951809
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3627526,3764035866
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3876385,3878284428
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2445963,2571162740
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3587937,3589695089
PeakValCalcOkaya,0,3144595
SeismogramSynthesis,2200360,2212601941
PeakValCalcOkaya,0,3133620
SeismogramSynthesis,3834678,3836556992
PeakValCalcOkaya,0,3100919
SeismogramSynthesis,4784646,4786990476
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2945629,2906579859
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2993961,2886619059
PeakValCalcOkaya,0,3132327
SeismogramSynthesis,2849332,2989313100
PeakValCalcOkaya,0,3084166
ExtractSGT,39755564434,20640000
SeismogramSynthesis,5436284,5566408873
PeakValCalcOkaya,0,3140141
SeismogramSynthesis,4504177,4623368655
PeakValCalcOkaya,0,3133461
SeismogramSynthesis,5108013,4948205613
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3724013,3725837766
PeakValCalcOkaya,0,3102644
SeismogramSynthesis,5013477,5015933603
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2230088,2162520256
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3730429,3732256910
PeakValCalcOkaya,0,3088101
SeismogramSynthesis,2597898,2460352954
PeakValCalcOkaya,0,3143582
SeismogramSynthesis,3952949,3894299333
PeakValCalcOkaya,0,3094709
SeismogramSynthesis,2646662,2481484869
PeakValCalcOkaya,0,3127491
SeismogramSynthesis,3230992,3240252655
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2274987,2276101743
PeakValCalcOkaya,0,3095587
SeismogramSynthesis,2934548,2965034613
PeakValCalcOkaya,0,3114891
SeismogramSynthesis,3833673,3835551499
PeakValCalcOkaya,0,3097242
SeismogramSynthesis,3901635,3811274087
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5356348,5358972610
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2664103,2592710994
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3513930,3601356243
PeakValCalcOkaya,0,3104055
SeismogramSynthesis,3123355,3076689669
PeakValCalcOkaya,0,3139381
SeismogramSynthesis,3385008,3490071046
PeakValCalcOkaya,0,3096940
SeismogramSynthesis,5202636,5079708638
PeakValCalcOkaya,0,3111864
SeismogramSynthesis,5137909,5140426575
PeakValCalcOkaya,0,3121109
SeismogramSynthesis,2007392,1960749767
PeakValCalcOkaya,0,3121968
SeismogramSynthesis,2726210,2727545842
PeakValCalcOkaya,0,3097769
SeismogramSynthesis,4236546,4092522125
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2355664,2356818275
PeakValCalcOkaya,0,3131814
SeismogramSynthesis,4712691,4694171933
PeakValCalcOkaya,0,3141587
SeismogramSynthesis,4546094,4711520134
PeakValCalcOkaya,0,3088946
SeismogramSynthesis,5374820,5377453661
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3870909,3872805745
PeakValCalcOkaya,0,3135576
SeismogramSynthesis,5523443,5494128854
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2120429,2250557007
PeakValCalcOkaya,0,3131903
SeismogramSynthesis,2733848,2699744636
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4972016,4935560612
PeakValCalcOkaya,0,3125703
SeismogramSynthesis,2150182,2151235589
PeakValCalcOkaya,0,3086083
SeismogramSynthesis,2659872,2730878958
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4241953,4392638975
PeakValCalcOkaya,0,3105534
SeismogramSynthesis,2552018,2553268488
PeakValCalcOkaya,0,3093625
SeismogramSynthesis,4149526,4151559267
PeakValCalcOkaya,0,3113518
SeismogramSynthesis,4674850,4677140676
PeakValCalcOkaya,0,3085438
SeismogramSynthesis,4204677,4117086818
PeakValCalcOkaya,0,3132526
SeismogramSynthesis,5348067,5404350845
PeakValCalcOkaya,0,3092878
SeismogramSynthesis,3981174,4042070466
PeakValCalcOkaya,0,3081566
SeismogramSynthesis,2724871,2767115509
PeakValCalcOkaya,0,3120838
SeismogramSynthesis,2181559,2138179468
PeakValCalcOkaya,0,3130214
SeismogramSynthesis,4672849,4786206691
PeakValCalcOkaya,0,3102692
SeismogramSynthesis,2567137,2568394897
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4848464,4850839747
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4672129,4608952698
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2475824,2438247533
PeakValCalcOkaya,0,3080441
SeismogramSynthesis,5161880,5194101943
PeakValCalcOkaya,0,3087823
SeismogramSynthesis,3352220,3189397334
PeakValCalcOkaya,0,3081966
SeismogramSynthesis,4966595,4841095861
PeakValCalcOkaya,0,3088515
SeismogramSynthesis,4188736,4190788480
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4141609,4302270998
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4907189,4803026621
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4180295,4129320305
PeakValCalcOkaya,0,3106835
SeismogramSynthesis,3458517,3460211673
PeakValCalcOkaya,0,3104849
SeismogramSynthesis,4805933,4808287907
PeakValCalcOkaya,0,3099776
ExtractSGT,40528801322,20640000
SeismogramSynthesis,3750511,3664257766
PeakValCalcOkaya,0,3080595
SeismogramSynthesis,2556993,2558245926
PeakValCalcOkaya,0,3106615
SeismogramSynthesis,5365380,5439902329
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5058640,5061118733
PeakValCalcOkaya,0,3112006
SeismogramSynthesis,4979669,4944482513
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5109964,5112467882
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3686925,3688731593
PeakValCalcOkaya,0,3082518
SeismogramSynthesis,4835101,4927937305
PeakValCalcOkaya,0,3113225
SeismogramSynthesis,2815667,2983421550
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2664024,2665329371
PeakValCalcOkaya,0,3138182
SeismogramSynthesis,3077833,3020406064
PeakValCalcOkaya,0,3124067
SeismogramSynthesis,3497627,3517713227
PeakValCalcOkaya,0,3109272
SeismogramSynthesis,4142381,4055622749
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5025327,5071401135
PeakValCalcOkaya,0,3144543
SeismogramSynthesis,4281717,4240144936
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4446928,4449106994
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3102776,3104296360
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4261194,4248501914
PeakValCalcOkaya,0,3097806
SeismogramSynthesis,5520025,5524053017
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4696596,4779523098
PeakValCalcOkaya,0,3120952
SeismogramSynthesis,2106719,2107751292
PeakValCalcOkaya,0,3134333
SeismogramSynthesis,2162963,2271535068
PeakValCalcOkaya,0,3077460
SeismogramSynthesis,4476382,4483816493
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4858338,4978669054
PeakValCalcOkaya,0,3134244
SeismogramSynthesis,5374176,5376809346
PeakValCalcOkaya,0,3129759
SeismogramSynthesis,2061473,2172339754
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3300409,3302026200
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4435268,4544945250
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2746622,2907363116
PeakValCalcOkaya,0,3085981
SeismogramSynthesis,3530588,3383709106
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4467261,4506517412
PeakValCalcOkaya,0,3087879
SeismogramSynthesis,5094627,5114356811
PeakValCalcOkaya,0,3133008
SeismogramSynthesis,4447803,4508426640
PeakValCalcOkaya,0,3077067
SeismogramSynthesis,4814531,4816890120
PeakValCalcOkaya,0,3102409
SeismogramSynthesis,2018690,1949092791
PeakValCalcOkaya,0,3108892
SeismogramSynthesis,3727927,3809736469
PeakValCalcOkaya,0,3086855
SeismogramSynthesis,5094255,5183130118
PeakValCalcOkaya,0,3095029
SeismogramSynthesis,3485539,3500868266
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5268308,5238367789
PeakValCalcOkaya,0,3102476
SeismogramSynthesis,4490044,4492244121
PeakValCalcOkaya,0,3121927
SeismogramSynthesis,2762685,2917718203
PeakValCalcOkaya,0,3124625
SeismogramSynthesis,2752618,2664311445
PeakValCalcOkaya,0,3109739
SeismogramSynthesis,3802946,3804809443
PeakValCalcOkaya,0,3089078
SeismogramSynthesis,3358515,3360160672
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3093060,3117976193
PeakValCalcOkaya,0,3100963
SeismogramSynthesis,4766085,4684316350
PeakValCalcOkaya,0,3087757
SeismogramSynthesis,3027826,3091707952
PeakValCalcOkaya,0,3109334
SeismogramSynthesis,2483230,2598200342
PeakValCalcOkaya,0,3120111
SeismogramSynthesis,5097031,5099528545
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4035562,3938162646
PeakValCalcOkaya,0,3140135
SeismogramSynthesis,4615830,4618091756
PeakValCalcOkaya,0,3134801
SeismogramSynthesis,3860149,3886800872
PeakValCalcOkaya,0,3091873
SeismogramSynthesis,3677010,3678811734
PeakValCalcOkaya,0,3142344
SeismogramSynthesis,5088955,5091448587
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4247095,4248603801
PeakValCalcOkaya,0,3143972
SeismogramSynthesis,2423681,2424868603
PeakValCalcOkaya,0,3087391
SeismogramSynthesis,3051132,3040606325
PeakValCalcOkaya,0,3116400
SeismogramSynthesis,3375712,3336118909
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4268865,4190881298
PeakValCalcOkaya,0,3118318
SeismogramSynthesis,4381592,4472568143
PeakValCalcOkaya,0,3106492
SeismogramSynthesis,4236960,4239036110
PeakValCalcOkaya,0,3109852
SeismogramSynthesis,3334247,3181537067
PeakValCalcOkaya,0,3110116
ExtractSGT,39422511672,20644787
SeismogramSynthesis,2676017,2568335136
PeakValCalcOkaya,0,3103994
SeismogramSynthesis,4944754,4947176929
PeakValCalcOkaya,0,3143385
SeismogramSynthesis,4924607,4827686996
PeakValCalcOkaya,0,3133230
SeismogramSynthesis,5286481,5338312198
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3011182,3137708811
PeakValCalcOkaya,0,3132601
SeismogramSynthesis,3757636,3759477241
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3341555,3383913773
PeakValCalcOkaya,0,3118425
SeismogramSynthesis,3278713,3197132359
PeakValCalcOkaya,0,3126836
SeismogramSynthesis,2587778,2643885743
PeakValCalcOkaya,0,3120190
SeismogramSynthesis,3303861,3311122710
PeakValCalcOkaya,0,3089831
SeismogramSynthesis,4371432,4373574001
PeakValCalcOkaya,0,3140127
SeismogramSynthesis,3001322,3002792647
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4090196,4146920659
PeakValCalcOkaya,0,3085456
SeismogramSynthesis,4202065,4204124011
PeakValCalcOkaya,0,3136846
SeismogramSynthesis,5301474,5218998963
PeakValCalcOkaya,0,3124467
SeismogramSynthesis,4933741,4930364935
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2256262,2248642449
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2365262,2435714799
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2165866,2302195388
PeakValCalcOkaya,0,3121658
SeismogramSynthesis,4288086,4330973117
PeakValCalcOkaya,0,3082452
SeismogramSynthesis,4111719,4122763895
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2366939,2248692653
PeakValCalcOkaya,0,3144254
SeismogramSynthesis,3063322,3150333846
PeakValCalcOkaya,0,3101652
SeismogramSynthesis,5032924,5190741499
PeakValCalcOkaya,0,3144634
SeismogramSynthesis,4520777,4680110181
PeakValCalcOkaya,0,3091847
SeismogramSynthesis,3471834,3349146588
PeakValCalcOkaya,0,3097374
SeismogramSynthesis,4019447,4021416529
PeakValCalcOkaya,0,3144264
SeismogramSynthesis,4279508,4281604958
PeakValCalcOkaya,0,3141930
SeismogramSynthesis,4828875,4831241148
PeakValCalcOkaya,0,3097768
SeismogramSynthesis,2608125,2599503285
PeakValCalcOkaya,0,3078111
SeismogramSynthesis,3638250,3657485253
PeakValCalcOkaya,0,3088737
SeismogramSynthesis,2875015,2825596946
PeakValCalcOkaya,0,3084055
SeismogramSynthesis,1915692,2032454238
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5156134,5171383444
PeakValCalcOkaya,0,3100828
SeismogramSynthesis,5030617,5033082002
PeakValCalcOkaya,0,3123777
SeismogramSynthesis,5217572,5148448940
PeakValCalcOkaya,0,3107217
SeismogramSynthesis,5029867,5157799586
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2291028,2384342151
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4236037,4238112658
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3247770,3364740439
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5041713,5044183439
PeakValCalcOkaya,0,3094707
SeismogramSynthesis,4791778,4848487317
PeakValCalcOkaya,0,3113337
SeismogramSynthesis,2124201,2203816572
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4497189,4646767209
PeakValCalcOkaya,0,3134815
SeismogramSynthesis,3386102,3278336247
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3879225,4028931786
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2876836,2981249022
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4692035,4694334097
PeakValCalcOkaya,0,3108778
SeismogramSynthesis,5163322,5259355583
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3452154,3453845555
PeakValCalcOkaya,0,3081190
SeismogramSynthesis,4556663,4558895764
PeakValCalcOkaya,0,3144110
SeismogramSynthesis,5349415,5462893154
PeakValCalcOkaya,0,3085317
SeismogramSynthesis,2114673,2252007693
PeakValCalcOkaya,0,3124637
SeismogramSynthesis,2357981,2388686707
PeakValCalcOkaya,0,3144563
SeismogramSynthesis,4636396,4804242301
PeakValCalcOkaya,0,3093984
SeismogramSynthesis,4271669,4422776438
PeakValCalcOkaya,0,3128527
SeismogramSynthesis,4786550,4749669537
PeakValCalcOkaya,0,3108543
SeismogramSynthesis,3025471,3030251916
PeakValCalcOkaya,0,3138552
SeismogramSynthesis,3519405,3582256405
PeakValCalcOkaya,0,3117503
SeismogramSynthesis,4908384,4838711134
PeakValCalcOkaya,0,3116971
SeismogramSynthesis,2646346,2647642709
PeakValCalcOkaya,0,3095972
SeismogramSynthesis,3174413,3316617753
PeakValCalcOkaya,0,3141484
SeismogramSynthesis,2981997,2858546252
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5334023,5204236883
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2613470,2614750600
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5376517,5243823631
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5328746,5236095060
PeakValCalcOkaya,0,3127952
SeismogramSynthesis,4408529,4248684857
PeakValCalcOkaya,0,3100850
ZipPSA,9805,6513297
ZipSeis,1225201,6250000
ExtractSGT,40194785802,20640000
SeismogramSynthesis,4086006,4088008142
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5316219,5376790751
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4193943,4295061684
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2210826,2211909304
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5118704,4995523310
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3915361,3959798248
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4399990,4335804381
PeakValCalcOkaya,0,3104380
SeismogramSynthesis,3843152,3742003543
PeakValCalcOkaya,0,3102007
SeismogramSynthesis,3184384,3259199453
PeakValCalcOkaya,0,3140335
SeismogramSynthesis,4189679,4090564376
PeakValCalcOkaya,0,3119304
SeismogramSynthesis,5007726,5097441213
PeakValCalcOkaya,0,3084792
SeismogramSynthesis,2795888,2789720958
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3346327,3478689970
PeakValCalcOkaya,0,3077578
SeismogramSynthesis,1976646,2026643665
PeakValCalcOkaya,0,3131403
SeismogramSynthesis,3334636,3253962812
PeakValCalcOkaya,0,3128770
SeismogramSynthesis,4176217,4226160518
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2410211,2526743674
PeakValCalcOkaya,0,3091301
SeismogramSynthesis,3332453,3246889864
PeakValCalcOkaya,0,3080443
SeismogramSynthesis,3352504,3354146726
PeakValCalcOkaya,0,3095032
SeismogramSynthesis,2909744,3011886142
PeakValCalcOkaya,0,3103954
SeismogramSynthesis,4233521,4226256650
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2088894,2089917558
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2322478,2409177561
PeakValCalcOkaya,0,3086274
SeismogramSynthesis,2923819,3086877088
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3653076,3813138389
PeakValCalcOkaya,0,3082120
SeismogramSynthesis,4973030,4975466784
PeakValCalcOkaya,0,3116173
SeismogramSynthesis,5143483,5222402352
PeakValCalcOkaya,0,3120094
SeismogramSynthesis,3727969,3589715016
PeakValCalcOkaya,0,3080664
SeismogramSynthesis,2372563,2461572995
PeakValCalcOkaya,0,3110687
SeismogramSynthesis,5518142,5400594413
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2868869,2828309036
PeakValCalcOkaya,0,3112781
SeismogramSynthesis,4527197,4507437666
PeakValCalcOkaya,0,3112144
SeismogramSynthesis,3931908,4045576971
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3386382,3481537732
PeakValCalcOkaya,0,3100578
SeismogramSynthesis,2283401,2284519866
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3443644,3568638802
PeakValCalcOkaya,0,3091786
SeismogramSynthesis,3808833,3810699328
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3957938,4016450548
PeakValCalcOkaya,0,3080333
SeismogramSynthesis,3167904,3308141309
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2247239,2224401964
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3373946,3375599233
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3362780,3364427762
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2422981,2546302306
PeakValCalcOkaya,0,3087793
SeismogramSynthesis,2244395,2245494753
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4335425,4403579650
PeakValCalcOkaya,0,3142404
SeismogramSynthesis,3528669,3530398047
PeakValCalcOkaya,0,3099281
SeismogramSynthesis,2775453,2931729367
PeakValCalcOkaya,0,3078747
SeismogramSynthesis,2595843,2748755351
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2883923,2885336122
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5310214,5434424744
PeakValCalcOkaya,0,3096445
SeismogramSynthesis,4243017,4111896307
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4667697,4669984171
PeakValCalcOkaya,0,3129786
SeismogramSynthesis,3790299,3835181710
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4909169,4944918374
PeakValCalcOkaya,0,3083667
SeismogramSynthesis,4768864,4771200743
PeakValCalcOkaya,0,3129128
SeismogramSynthesis,5291177,5385120565
PeakValCalcOkaya,0,3106578
SeismogramSynthesis,3955301,3934942450
PeakValCalcOkaya,0,3125221
SeismogramSynthesis,5069532,4908552960
PeakValCalcOkaya,0,3099772
SeismogramSynthesis,4298176,4300282106
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4005712,4125782815
PeakValCalcOkaya,0,3079064
SeismogramSynthesis,3343955,3319764739
PeakValCalcOkaya,0,3080866
SeismogramSynthesis,2582959,2574859482
PeakValCalcOkaya,0,3120986
SeismogramSynthesis,1993313,1994289723
PeakValCalcOkaya,0,3111289
SeismogramSynthesis,2926845,2990596539
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2988456,2989920343
PeakValCalcOkaya,0,3095538
SeismogramSynthesis,1876897,1877816679
PeakValCalcOkaya,0,3118429
SeismogramSynthesis,2529176,2659335956
PeakValCalcOkaya,0,3140009
SeismogramSynthesis,5455368,5502387824
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3487887,3469285891
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5268619,5387325537
PeakValCalcOkaya,0,3114605
SeismogramSynthesis,2030038,1941567204
PeakValCalcOkaya,0,3104411
SeismogramSynthesis,2045938,2210473102
PeakValCalcOkaya,0,3107260
SeismogramSynthesis,3612696,3620991177
PeakValCalcOkaya,0,3096987
ExtractSGT,39681160066,20066949
SeismogramSynthesis,3910704,3879606937
PeakValCalcOkaya,0,3115503
SeismogramSynthesis,2441799,2339793331
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4768986,4728033970
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3703448,3614015406
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2827554,2823196947
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3304821,3369059819
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3931010,3956365880
PeakValCalcOkaya,0,3117790
SeismogramSynthesis,4518195,4665145113
PeakValCalcOkaya,0,3111769
SeismogramSynthesis,4335915,4187567311
PeakValCalcOkaya,0,3106405
SeismogramSynthesis,3583648,3622523312
PeakValCalcOkaya,0,3135588
SeismogramSynthesis,5292223,5294816189
PeakValCalcOkaya,0,3127513
SeismogramSynthesis,3007971,3102039525
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4479094,4481288756
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4624340,4732351125
PeakValCalcOkaya,0,3107225
SeismogramSynthesis,3701897,3703710929
PeakValCalcOkaya,0,3137006
SeismogramSynthesis,3757201,3694405391
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2206480,2207561175
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3459012,3372721605
PeakValCalcOkaya,0,3103826
