task_type,input_size_total_bytes,peak_mem_bytes
TmpltBank,null,404554408
TmpltBank,null,404559875
TmpltBank,null,404553740
TmpltBank,null,404551984
TmpltBank,null,404539984
TmpltBank,null,404557398
TmpltBank,null,404520596
TmpltBank,null,404551640
TmpltBank,null,404560757
TmpltBank,null,404521234
TmpltBank,null,404541128
TmpltBank,null,404536452
TmpltBank,null,404537893
TmpltBank,null,404547391
TmpltBank,null,404558969
TmpltBank,null,404546972
TmpltBank,null,404528847
TmpltBank,null,404530995
TmpltBank,null,404512980
TmpltBank,null,404507878
TmpltBank,null,404540909
TmpltBank,null,404577689
TmpltBank,null,404580910
TmpltBank,null,404549656
TmpltBank,null,404542724
TmpltBank,null,404562129
TmpltBank,null,404522497
TmpltBank,null,404527754
TmpltBank,null,404562900
TmpltBank,null,404538220
TmpltBank,null,404566884
TmpltBank,null,404586317
TmpltBank,null,404575483
TmpltBank,null,404528447
TmpltBank,null,404572259
TmpltBank,null,404523090
TmpltBank,null,404555322
TmpltBank,null,404550152
TmpltBank,null,404538644
TmpltBank,null,404519869
TmpltBank,null,404528598
TmpltBank,null,404534003
TmpltBank,null,404527261
Inspiral,null,2797973593
Inspiral,null,2967759470
Inspiral,null,2101897579
Inspiral,null,1995951851
Inspiral,null,3128857675
Inspiral,null,3858763225
Inspiral,null,1837777024
Inspiral,null,2725332702
Inspiral,null,2886202390
Inspiral,null,1997520232
Inspiral,null,3075070335
Inspiral,null,2462211350
Inspiral,null,3640363737
Inspiral,null,4881609034
Inspiral,null,2845189335
Inspiral,null,3759132807
Inspiral,null,3011999568
Inspiral,null,2802562225
Inspiral,null,2479025703
Inspiral,null,3984948832
Inspiral,null,3827630663
Inspiral,null,3868139484
Inspiral,null,4257621281
Inspiral,null,2887878652
Inspiral,null,2915977460
Inspiral,null,1947127388
Inspiral,null,3060507577
Inspiral,null,3181188062
Inspiral,null,4034977991
Inspiral,null,3327089856
Inspiral,null,3282762610
Inspiral,null,3674421924
Inspiral,null,2624922819
Inspiral,null,2041247757
Inspiral,null,3235674217
Inspiral,null,2033951678
Inspiral,null,3685882175
Inspiral,null,3374536617
Inspiral,null,2737983095
Inspiral,null,3157111706
Inspiral,null,3339155452
Inspiral,null,2846367368
Inspiral,null,2468282809
Inspiral,null,3558794673
Inspiral,null,3737854369
Inspiral,null,3232463950
Inspiral,null,4717665155
Inspiral,null,2793827778
Inspiral,null,2658526654
Inspiral,null,2909672341
Inspiral,null,3185234752
Inspiral,null,3796181825
Inspiral,null,2976012553
Inspiral,null,4309587678
Inspiral,null,2184855187
Inspiral,null,4504300208
Inspiral,null,3816784735
Inspiral,null,1934168608
Inspiral,null,2282010896
Inspiral,null,2976649086
Inspiral,null,2756643186
Inspiral,null,3601992065
Inspiral,null,2942394551
Inspiral,null,2413614279
Inspiral,null,2799267459
Inspiral,null,3245613318
Inspiral,null,2371558669
Inspiral,null,2696809558
Inspiral,null,2879029936
Inspiral,null,3284690733
Inspiral,null,4542434935
Inspiral,null,3668828282
Inspiral,null,3164325814
Inspiral,null,2899119580
Inspiral,null,2890000066
Inspiral,null,2310842397
Inspiral,null,3351803202
Inspiral,null,1866813728
Inspiral,null,1023699802
Inspiral,null,4413917960
Inspiral,null,2720887664
Inspiral,null,2730623134
Inspiral,null,2803086967
Inspiral,null,2676220524
Inspiral,null,1236772315
Inspiral,null,3228907932
Inspiral,null,2547360308
Inspiral,null,3933100380
Inspiral,null,2887008168
Inspiral,null,2540262706
Inspiral,null,2575403712
Inspiral,null,4072654223
Inspiral,null,2311237675
Inspiral,null,1891335115
Inspiral,null,3366581124
Inspiral,null,2689427451
Inspiral,null,2687809732
Inspiral,null,2478397699
Inspiral,null,4982266176
Inspiral,null,1868510656
Inspiral,null,3723683153
Inspiral,null,3042121699
Inspiral,null,3538141029
Inspiral,null,2934482333
Inspiral,null,3925233216
Inspiral,null,2279743423
Inspiral,null,4526866504
Inspiral,null,4268401786
Inspiral,null,2657103894
Inspiral,null,3688307699
Inspiral,null,3474198929
Inspiral,null,3693338111
Inspiral,null,2699599651
Inspiral,null,3295164008
Inspiral,null,1665264339
Inspiral,null,2916463361
Inspiral,null,4258112179
Inspiral,null,3203244607
Inspiral,null,2753412246
Inspiral,null,2166464135
Inspiral,null,2728735006
Inspiral,null,4387157252
Inspiral,null,4217472969
Thinca,null,1955713
Thinca,null,3285321
Thinca,null,2055474
TrigBank,null,1965182
TrigBank,null,2242265
TrigBank,null,2183386
TrigBank,null,2396225
TrigBank,null,2117998
TrigBank,null,1868851
TrigBank,null,2078571
TrigBank,null,2119818
TrigBank,null,2079900
TrigBank,null,1943372
TrigBank,null,2113075
TrigBank,null,2120192
TrigBank,null,2180391
TrigBank,null,2083778
TrigBank,null,2155599
TrigBank,null,2141030
TrigBank,null,1977798
TrigBank,null,2094365
TrigBank,null,2367275
TrigBank,null,1963152
TrigBank,null,2120868
TrigBank,null,2244582
TrigBank,null,1771292
TrigBank,null,2098930
TrigBank,null,1845298
TrigBank,null,2237239
TrigBank,null,1937132
TrigBank,null,2057553
TrigBank,null,2026722
TrigBank,null,2050168
TrigBank,null,1779776
TrigBank,null,2067790
TrigBank,null,2259312
TrigBank,null,1943365
TrigBank,null,2216803
TrigBank,null,1917899
TrigBank,null,2125303
TrigBank,null,2076729
TrigBank,null,2047854
TrigBank,null,1962357
TrigBank,null,2053294
TrigBank,null,2129434
TrigBank,null,1779692
TrigBank,null,2183879
TrigBank,null,1958206
TrigBank,null,2029586
TrigBank,null,1804080
TrigBank,null,1888943
TrigBank,null,2160702
TrigBank,null,2085641
TrigBank,null,1886785
TrigBank,null,2362331
TrigBank,null,1831309
TrigBank,null,1723604
TrigBank,null,1986672
TrigBank,null,2176390
TrigBank,null,1929989
TrigBank,null,2007152
TrigBank,null,2096952
TrigBank,null,2338551
TrigBank,null,2003072
TrigBank,null,1888477
TrigBank,null,2183266
TrigBank,null,2261266
TrigBank,null,2015195
TrigBank,null,1964512
TrigBank,null,2292486
TrigBank,null,1968912
TrigBank,null,2054371
TrigBank,null,1975418
TrigBank,null,1940364
TrigBank,null,2076013
TrigBank,null,2201284
TrigBank,null,1836036
TrigBank,null,2144813
TrigBank,null,2246844
TrigBank,null,2064361
TrigBank,null,2383559
TrigBank,null,1936822
TrigBank,null,2142231
TrigBank,null,1827031
TrigBank,null,1837121
TrigBank,null,2134919
TrigBank,null,2234895
TrigBank,null,2076970
TrigBank,null,1877023
TrigBank,null,2253407
TrigBank,null,1995899
TrigBank,null,1938453
TrigBank,null,1942965
TrigBank,null,1960802
TrigBank,null,1966706
TrigBank,null,2144042
TrigBank,null,1920945
TrigBank,null,2202755
TrigBank,null,1916559
TrigBank,null,2072943
TrigBank,null,2153069
TrigBank,null,1890172
TrigBank,null,2172267
TrigBank,null,2325193
TrigBank,null,2070693
TrigBank,null,1943738
TrigBank,null,2147132
TrigBank,null,1986375
TrigBank,null,1950644
TrigBank,null,2230830
TrigBank,null,1818633
TrigBank,null,2040863
TrigBank,null,2097536
TrigBank,null,2085921
TrigBank,null,2037856
TrigBank,null,2079280
TrigBank,null,2008420
TrigBank,null,1948847
TrigBank,null,2055864
TrigBank,null,2159468
TrigBank,null,1755943
TrigBank,null,1934980
TrigBank,null,2009768
TrigBank,null,2023902
TrigBank,null,2059547
TrigBank,null,2007520
TrigBank,null,1835780
Inspiral,null,3321976460
Inspiral,null,3320514897
Inspiral,null,3358848810
Inspiral,null,3588150854
Inspiral,null,2178922943
Inspiral,null,1854662464
Inspiral,null,3854452469
Inspiral,null,4558438009
Inspiral,null,4519112229
Inspiral,null,3095097220
Inspiral,null,2747170771
Inspiral,null,4640185409
Inspiral,null,2940879945
Inspiral,null,4300974255
Inspiral,null,2848040288
Inspiral,null,2173222626
Inspiral,null,3369222561
Inspiral,null,3494475927
Inspiral,null,2414236166
Inspiral,null,4307350882
Inspiral,null,2764099366
Inspiral,null,2205561444
Inspiral,null,3605383238
Inspiral,null,3432999460
Inspiral,null,2224878221
Inspiral,null,3113379721
Inspiral,null,2537129280
Inspiral,null,1729949636
Inspiral,null,3762689573
Inspiral,null,3374138069
Inspiral,null,4614068159
Inspiral,null,2717411675
Inspiral,null,2702806605
Inspiral,null,3339559018
Inspiral,null,1975393902
Inspiral,null,4004021665
Inspiral,null,2470465251
Inspiral,null,2848383125
Inspiral,null,2881983167
Inspiral,null,3083524402
Inspiral,null,4098766309
Inspiral,null,3147350541
Inspiral,null,2927423109
Inspiral,null,2711242489
Inspiral,null,2808229997
Inspiral,null,3200639574
Inspiral,null,2543011200
Inspiral,null,3240055841
Inspiral,null,2543909271
Inspiral,null,2116638341
Inspiral,null,1492055902
Inspiral,null,2841607579
Inspiral,null,2803325314
Inspiral,null,2693305533
Inspiral,null,3633558890
Inspiral,null,3245292647
Inspiral,null,1679652618
Inspiral,null,3306150043
Inspiral,null,3380001832
Inspiral,null,3513824248
Inspiral,null,2400264985
Inspiral,null,2588021563
Inspiral,null,1660324493
Inspiral,null,3108339771
Inspiral,null,2960848130
Inspiral,null,4566387113
Inspiral,null,4659528090
Inspiral,null,2225021930
Inspiral,null,2920856702
Inspiral,null,2751411040
Inspiral,null,3645705505
Inspiral,null,1527799472
Inspiral,null,2980207038
Inspiral,null,4707983907
Inspiral,null,2902666698
Inspiral,null,3353131505
Inspiral,null,2316155098
Inspiral,null,3660424413
Inspiral,null,2239972654
Inspiral,null,3239235451
Inspiral,null,4234090322
Inspiral,null,3506293025
Inspiral,null,4408768601
Inspiral,null,2780790608
Inspiral,null,2405835271
Inspiral,null,1621178220
Inspiral,null,4359211200
Inspiral,null,3147203530
Inspiral,null,2179745290
Inspiral,null,4407764609
Inspiral,null,2461825656
Inspiral,null,4144599278
Inspiral,null,1849641354
Inspiral,null,2948783668
Inspiral,null,3308720224
Inspiral,null,2773108233
Inspiral,null,3293317927
Inspiral,null,2628761039
Inspiral,null,2245189551
Inspiral,null,4002185681
Inspiral,null,3354728881
Inspiral,null,3271908299
Inspiral,null,3683141047
Inspiral,null,2546001649
Inspiral,null,2895968981
Inspiral,null,2990066377
Inspiral,null,3001178435
Inspiral,null,2730570054
Inspiral,null,3995007703
Inspiral,null,3463953776
Inspiral,null,1879473287
Inspiral,null,3719287265
Inspiral,null,2910220533
Inspiral,null,3037887099
Inspiral,null,2785258043
Inspiral,null,2805058064
Inspiral,null,2889819985
Inspiral,null,4592606563
Inspiral,null,2997152178
Inspiral,null,3669784324
Inspiral,null,3411153877
Inspiral,null,3493609190
Inspiral,null,1834852416
Inspiral,null,3621681576
Thinca,null,2888434
Thinca,null,3783630
Thinca,null,3606201
TmpltBank,null,404518300
TmpltBank,null,404512043
TmpltBank,null,404531557
TmpltBank,null,404539655
TmpltBank,null,404490305
TmpltBank,null,404546047
TmpltBank,null,404518266
TmpltBank,null,404543388
TmpltBank,null,404542645
TmpltBank,null,404537001
TmpltBank,null,404555977
TmpltBank,null,404560252
TmpltBank,null,404503498
TmpltBank,null,404545283
TmpltBank,null,404536000
TmpltBank,null,404511492
TmpltBank,null,404550962
TmpltBank,null,404536288
TmpltBank,null,404547813
TmpltBank,null,404554649
TmpltBank,null,404568992
TmpltBank,null,404539427
TmpltBank,null,404502339
TmpltBank,null,404529658
TmpltBank,null,404534868
TmpltBank,null,404538979
TmpltBank,null,404562187
TmpltBank,null,404567749
TmpltBank,null,404530003
TmpltBank,null,404546217
TmpltBank,null,404540482
TmpltBank,null,404556597
TmpltBank,null,404522220
TmpltBank,null,404586114
TmpltBank,null,404522559
TmpltBank,null,404559140
TmpltBank,null,404544061
TmpltBank,null,404530141
TmpltBank,null,404523528
TmpltBank,null,404506939
TmpltBank,null,404583660
TmpltBank,null,404526479
TmpltBank,null,404538485
TmpltBank,null,404525237
TmpltBank,null,404553345
TmpltBank,null,404543348
TmpltBank,null,404539478
TmpltBank,null,404512594
TmpltBank,null,404553410
TmpltBank,null,404537715
TmpltBank,null,404543118
TmpltBank,null,404558534
TmpltBank,null,404535424
TmpltBank,null,404545646
TmpltBank,null,404533365
TmpltBank,null,404531653
TmpltBank,null,404566006
TmpltBank,null,404558913
TmpltBank,null,404520084
TmpltBank,null,404558255
TmpltBank,null,404539244
TmpltBank,null,404558294
TmpltBank,null,404551709
TmpltBank,null,404489880
TmpltBank,null,404539709
TmpltBank,null,404536175
TmpltBank,null,404509917
TmpltBank,null,404551678
TmpltBank,null,404542977
TmpltBank,null,404542195
TmpltBank,null,404524266
TmpltBank,null,404572947
TmpltBank,null,404546593
TmpltBank,null,404513690
TmpltBank,null,404536425
TmpltBank,null,404540109
TmpltBank,null,404535827
TmpltBank,null,404560237
TmpltBank,null,404512946
TmpltBank,null,404552691
TmpltBank,null,404521657
TmpltBank,null,404522107
TmpltBank,null,404549591
TmpltBank,null,404520609
TmpltBank,null,404522509
TmpltBank,null,404548675
TmpltBank,null,404522297
TmpltBank,null,404573542
TmpltBank,null,404551985
TmpltBank,null,404555368
TmpltBank,null,404532088
TmpltBank,null,404538569
TmpltBank,null,404567487
TmpltBank,null,404488362
TmpltBank,null,404500082
TmpltBank,null,404543613
TmpltBank,null,404546401
TmpltBank,null,404537787
TmpltBank,null,404547362
TmpltBank,null,404557736
TmpltBank,null,404528244
TmpltBank,null,404557732
TmpltBank,null,404481905
TmpltBank,null,404540948
TmpltBank,null,404547305
TmpltBank,null,404519622
TmpltBank,null,404565395
TmpltBank,null,404537161
TmpltBank,null,404555051
TmpltBank,null,404541044
TmpltBank,null,404516855
TmpltBank,null,404537692
TmpltBank,null,404550179
TmpltBank,null,404514596
TmpltBank,null,404529070
TmpltBank,null,404578771
TmpltBank,null,404537910
TmpltBank,null,404530093
TmpltBank,null,404509329
TmpltBank,null,404544214
TmpltBank,null,404522245
TmpltBank,null,404546837
TmpltBank,null,404526602
TmpltBank,null,404517574
TmpltBank,null,404538951
TmpltBank,null,404552157
TmpltBank,null,404548783
TmpltBank,null,404529382
TmpltBank,null,404541832
TmpltBank,null,404546925
TmpltBank,null,404520192
TmpltBank,null,404535620
TmpltBank,null,404516575
TmpltBank,null,404537132
TmpltBank,null,404553503
TmpltBank,null,404541156
TmpltBank,null,404568318
TmpltBank,null,404565141
TmpltBank,null,404532635
TmpltBank,null,404515949
TmpltBank,null,404536572
Inspiral,null,3405887565
Inspiral,null,1773104783
Inspiral,null,3898493008
Inspiral,null,3585641089
Inspiral,null,3079167324
Inspiral,null,1210370599
Inspiral,null,3445656519
Inspiral,null,3247837708
Inspiral,null,3963697202
Inspiral,null,3435649701
Inspiral,null,1760322446
Inspiral,null,3389485637
Inspiral,null,3787003962
Inspiral,null,2772506870
Inspiral,null,1866997601
Inspiral,null,2680778937
Inspiral,null,2952775364
Inspiral,null,3768115161
Inspiral,null,2943623313
Inspiral,null,2622911385
Inspiral,null,3389626034
Inspiral,null,3043221124
Inspiral,null,3285183859
Inspiral,null,2187493188
Inspiral,null,2901374003
Inspiral,null,4822223547
Inspiral,null,3180462647
Inspiral,null,3878472603
Inspiral,null,2912170257
Inspiral,null,2091284851
Inspiral,null,2927150158
Inspiral,null,3142116027
Inspiral,null,3472134184
Inspiral,null,3210768414
Inspiral,null,3549174176
Inspiral,null,2833266887
Inspiral,null,1914430546
Inspiral,null,3593382457
Inspiral,null,3283699911
Inspiral,null,3887706047
Inspiral,null,1969985388
Inspiral,null,3292484313
Inspiral,null,2980237617
Inspiral,null,4057059186
Inspiral,null,4062159909
Inspiral,null,3153191093
Inspiral,null,3753808264
Inspiral,null,3111018560
Inspiral,null,2550277425
Inspiral,null,3409093029
Inspiral,null,4482183890
Inspiral,null,4108692192
Inspiral,null,3155511280
Inspiral,null,3442911178
Inspiral,null,3413340729
Inspiral,null,2660802475
Inspiral,null,2494763636
Inspiral,null,2780502992
Inspiral,null,3689259261
Inspiral,null,1882080704
Inspiral,null,2127081083
Inspiral,null,2500589782
Inspiral,null,2219257042
Inspiral,null,1595244008
Inspiral,null,4196293681
Inspiral,null,3693531255
Inspiral,null,2112434870
Inspiral,null,2488329982
Inspiral,null,3892619209
Inspiral,null,3995522968
Inspiral,null,2315029628
Inspiral,null,3047328058
Inspiral,null,3710358178
Inspiral,null,2643950690
Inspiral,null,2416329242
Inspiral,null,2517825478
Inspiral,null,3423041355
Inspiral,null,2628201458
Inspiral,null,2495212121
Inspiral,null,2623452763
Inspiral,null,2908681354
Inspiral,null,2466697171
Inspiral,null,4314372870
Inspiral,null,1850149112
Inspiral,null,2949333116
Inspiral,null,3430828702
Inspiral,null,1540246132
Inspiral,null,4248356896
Inspiral,null,3741510809
Inspiral,null,2685053213
Inspiral,null,3459101174
Inspiral,null,2399551973
Inspiral,null,2670026982
Inspiral,null,2762528503
Inspiral,null,3847688070
Inspiral,null,4564985592
Inspiral,null,1636180046
Inspiral,null,3208154148
Inspiral,null,3054543942
Inspiral,null,3197010810
Inspiral,null,3202975655
Inspiral,null,3137675690
Inspiral,null,2483762947
Inspiral,null,2175992014
Inspiral,null,2923913381
Inspiral,null,2098191529
Inspiral,null,3756562323
Inspiral,null,4030660240
Inspiral,null,3598552307
Inspiral,null,4747949854
Inspiral,null,3258417297
Inspiral,null,3974366943
Inspiral,null,3355801881
Inspiral,null,2753556566
Inspiral,null,2071983538
Inspiral,null,2460718855
Inspiral,null,1207536048
Inspiral,null,4018854695
Inspiral,null,3074647988
Inspiral,null,2350542461
Inspiral,null,3442347544
Inspiral,null,2576045661
Inspiral,null,3611124479
Inspiral,null,3247135288
Inspiral,null,1777144969
Inspiral,null,2004240934
Inspiral,null,2983112562
Inspiral,null,2615364752
Inspiral,null,3279577165
Inspiral,null,2279947929
Inspiral,null,3390969991
Inspiral,null,1782958792
Inspiral,null,1975566593
Inspiral,null,4389322246
Inspiral,null,3202998499
Inspiral,null,2974885148
Inspiral,null,3627061110
Inspiral,null,3687307801
Inspiral,null,1823795780
Inspiral,null,2852219170
Inspiral,null,2714768123
Thinca,null,1413550
Thinca,null,2311197
Thinca,null,3082189
Thinca,null,1566583
Thinca,null,1997637
TrigBank,null,2067678
TrigBank,null,1997527
TrigBank,null,2061274
TrigBank,null,2142780
TrigBank,null,1714723
TrigBank,null,2051003
TrigBank,null,2004373
TrigBank,null,1739505
TrigBank,null,2199418
TrigBank,null,1996415
TrigBank,null,2140300
TrigBank,null,2162230
TrigBank,null,1963138
TrigBank,null,1943418
TrigBank,null,1824687
TrigBank,null,2052998
TrigBank,null,2022282
TrigBank,null,2107519
TrigBank,null,2255946
TrigBank,null,2067261
TrigBank,null,2258320
TrigBank,null,1935912
TrigBank,null,2086692
TrigBank,null,1901949
TrigBank,null,1929369
TrigBank,null,2037931
TrigBank,null,2156868
TrigBank,null,1793025
TrigBank,null,2274342
TrigBank,null,2030003
TrigBank,null,2117547
TrigBank,null,2025266
TrigBank,null,2137358
TrigBank,null,1980091
TrigBank,null,2073110
TrigBank,null,2013848
TrigBank,null,2092926
TrigBank,null,2065222
TrigBank,null,1864662
TrigBank,null,2093712
TrigBank,null,1962305
TrigBank,null,1976305
TrigBank,null,2284504
TrigBank,null,2270965
TrigBank,null,1988338
TrigBank,null,2042493
TrigBank,null,2003338
TrigBank,null,2028108
TrigBank,null,1951663
TrigBank,null,2148279
TrigBank,null,2048561
TrigBank,null,2168918
TrigBank,null,2083334
TrigBank,null,1889897
TrigBank,null,2167687
TrigBank,null,2186831
TrigBank,null,2085493
TrigBank,null,1906763
TrigBank,null,2172677
TrigBank,null,1999372
TrigBank,null,2196054
TrigBank,null,1947504
TrigBank,null,2032791
TrigBank,null,2071374
TrigBank,null,2189540
TrigBank,null,2098807
TrigBank,null,1992323
TrigBank,null,1827563
TrigBank,null,2063843
TrigBank,null,2071067
TrigBank,null,2180313
TrigBank,null,1958667
TrigBank,null,1987836
TrigBank,null,1711816
TrigBank,null,1877445
TrigBank,null,1845602
TrigBank,null,1896894
TrigBank,null,2002058
TrigBank,null,2000718
TrigBank,null,2132419
TrigBank,null,2111028
TrigBank,null,2132610
TrigBank,null,2083101
TrigBank,null,2145146
TrigBank,null,2034427
TrigBank,null,2030837
TrigBank,null,1825247
TrigBank,null,2040035
TrigBank,null,1999029
TrigBank,null,1767128
TrigBank,null,2096467
TrigBank,null,1869750
TrigBank,null,1932937
TrigBank,null,2048180
TrigBank,null,2133421
TrigBank,null,1771931
TrigBank,null,2134439
TrigBank,null,2158575
TrigBank,null,2051692
TrigBank,null,2223515
TrigBank,null,2255950
TrigBank,null,1977465
TrigBank,null,2167794
TrigBank,null,1839357
TrigBank,null,2265429
TrigBank,null,1956466
TrigBank,null,1914429
TrigBank,null,2103747
TrigBank,null,2136085
TrigBank,null,1967948
TrigBank,null,2022948
TrigBank,null,2017556
TrigBank,null,2121357
TrigBank,null,2155797
TrigBank,null,2112182
TrigBank,null,2012705
TrigBank,null,2074244
TrigBank,null,2103892
TrigBank,null,1980145
TrigBank,null,2082227
TrigBank,null,2030205
TrigBank,null,1974809
TrigBank,null,2206507
TrigBank,null,1804165
TrigBank,null,1974461
TrigBank,null,1837249
TrigBank,null,2196025
TrigBank,null,2174263
TrigBank,null,2128750
TrigBank,null,1858474
TrigBank,null,1907196
TrigBank,null,1997809
TrigBank,null,1909713
TrigBank,null,2132753
TrigBank,null,1731071
TrigBank,null,1933657
TrigBank,null,1947959
TrigBank,null,1919990
TrigBank,null,2028581
TrigBank,null,1944969
TrigBank,null,1884299
TrigBank,null,1977746
TrigBank,null,1984291
TrigBank,null,2355673
TrigBank,null,2105191
TrigBank,null,1975911
TrigBank,null,2122922
TrigBank,null,1862026
TrigBank,null,1936285
TrigBank,null,1969428
TrigBank,null,2160174
TrigBank,null,1994099
TrigBank,null,1801076
TrigBank,null,1929795
Inspiral,null,2631023364
Inspiral,null,3651090641
Inspiral,null,3690006522
Inspiral,null,3390509692
Inspiral,null,3645218959
Inspiral,null,2936437126
Inspiral,null,3892416142
Inspiral,null,3164500182
Inspiral,null,4215035209
Inspiral,null,2657879689
Inspiral,null,2661757818
Inspiral,null,3146753981
Inspiral,null,3313369106
Inspiral,null,3922987302
Inspiral,null,3947837929
Inspiral,null,3596177022
Inspiral,null,2268799330
Inspiral,null,2796539449
Inspiral,null,2138429283
Inspiral,null,3800451155
Inspiral,null,4663208499
Inspiral,null,3227108765
Inspiral,null,1967305804
Inspiral,null,2618662446
Inspiral,null,3264020889
Inspiral,null,3474809128
Inspiral,null,3634644654
Inspiral,null,3589352519
Inspiral,null,2403998553
Inspiral,null,3540047032
Inspiral,null,2577634496
Inspiral,null,1372741059
Inspiral,null,3191826760
Inspiral,null,3536594716
Inspiral,null,3462677026
Inspiral,null,3372761643
Inspiral,null,2191799140
Inspiral,null,2736206069
Inspiral,null,3745108625
Inspiral,null,2652971253
Inspiral,null,2047321881
Inspiral,null,1771088489
Inspiral,null,3790480276
Inspiral,null,2440367538
Inspiral,null,1507123613
Inspiral,null,3730045300
Inspiral,null,4040898179
Inspiral,null,4157991644
Inspiral,null,3661337233
Inspiral,null,3890352303
Inspiral,null,2370927825
Inspiral,null,4164987309
Inspiral,null,2428670019
Inspiral,null,2987506213
Inspiral,null,2343308854
Inspiral,null,3328698537
Inspiral,null,2796139442
Inspiral,null,4416220698
Inspiral,null,1647636616
Inspiral,null,2439571426
Inspiral,null,2269674441
Inspiral,null,1097554471
Inspiral,null,2091644647
Inspiral,null,2793247597
Inspiral,null,2456451590
Inspiral,null,3614328869
Inspiral,null,4635152989
Inspiral,null,1844156610
Inspiral,null,2132929197
Inspiral,null,3099781696
Inspiral,null,2945312047
Inspiral,null,2804295287
Inspiral,null,2520041514
Inspiral,null,2992297904
Inspiral,null,1298947487
Inspiral,null,4396746608
Inspiral,null,3709604156
Inspiral,null,2419600519
Inspiral,null,3434831759
Inspiral,null,3444027001
Inspiral,null,3162990190
Inspiral,null,2656322278
Inspiral,null,3791807605
Inspiral,null,2974582028
Inspiral,null,3403020972
Inspiral,null,3460175785
Inspiral,null,3909878536
Inspiral,null,2677800261
Inspiral,null,2592015209
Inspiral,null,2487887146
Inspiral,null,2957703013
Inspiral,null,2573130001
Inspiral,null,2360321322
Inspiral,null,3700679477
Inspiral,null,3754332375
Inspiral,null,2654219735
Inspiral,null,3235437933
Inspiral,null,3043793142
Inspiral,null,3405000858
Inspiral,null,2396961666
Inspiral,null,2523663116
Inspiral,null,3123326604
Inspiral,null,3643275102
Inspiral,null,3266505938
Inspiral,null,1846591501
Inspiral,null,3611098422
